rank,sqft,name,location,builtfor,owner,completed,arch,architect,image
1,178926,Biltmore Estate,"Asheville, North Carolina",George Washington Vanderbilt II,The Biltmore Company,1895,Châteauesque,Richard Morris Hunt and Frederick Law Olmsted,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Biltmore_Estate%2C_Asheville%2C_North_Carolina.jpg/149px-Biltmore_Estate%2C_Asheville%2C_North_Carolina.jpg
2,109000,Oheka Castle,"West Hills, New York",Otto Hermann Kahn,Gary Melius,1919,Châteauesque,Delano and Aldrich,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/OHEKA_CASTLE_exterior_view_2.jpg/150px-OHEKA_CASTLE_exterior_view_2.jpg
3,105000,The One,"Bel Air, Los Angeles, California",Nile Niami,Nile Niami,2021,Contemporary Architecture,Paul McClean,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/The_One_Bel_Air.png/148px-The_One_Bel_Air.png
4,100000,Whitemarsh Hall,"Wyndmoor, Pennsylvania",Edward T. Stotesbury,(demolished in 1980) ,1917,Georgian,Horace Trumbauer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Whitemarsh_Hall.jpg/150px-Whitemarsh_Hall.jpg
5,97188,Arden House,"Harriman, New York",Edward Henry Harriman,Mo Tianquan (via Research Center on Natural Conservation),1909,Châteauesque,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arden_House_1.jpg/150px-Arden_House_1.jpg
6,96582,Winterthur,"Winterthur, Delaware",Henry Francis du Pont,"Winterthur Museum, Garden and Library",1932,Georgian Revival,Henry Francis du Pont,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Winterthur_Museum_-_DSC01316.JPG/150px-Winterthur_Museum_-_DSC01316.JPG
7,90000,Cornelius Vanderbilt II House,"New York, New York",Cornelius Vanderbilt II,(demolished in 1926),1882,Châteauesque,George B. Post,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Cornelius_Vanderbilt_II_House.jpg/150px-Cornelius_Vanderbilt_II_House.jpg
7,90000,Shadow Lawn,"West Long Branch, New Jersey",Hubert T. Parson,Monmouth University,1927,Beaux-Arts,Horace Trumbauer,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Woodrow_Wilson_Hall%2C_West_Long_Branch%2C_NJ_-_south_view.jpg/150px-Woodrow_Wilson_Hall%2C_West_Long_Branch%2C_NJ_-_south_view.jpg
8,88000,Meadow Brook Hall,"Rochester Hills, Michigan",Matilda Dodge Wilson,Oakland University,1929,Tudor Revival,Smith Hinchman & Grylls,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Meadowbrook_Hall.JPG/150px-Meadowbrook_Hall.JPG
9,85000,Versailles,"Windermere, Florida",David A. Siegel,David A. Siegel,,Châteauesque,,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Versailles_home_in_Lake_Butler_Sound.jpg/150px-Versailles_home_in_Lake_Butler_Sound.jpg
