InspectionDate,HouseNumber,StreetName,Apartment,Borough,Full Address,Latitude,Longitude,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
01/02/2021,793,FAIRMOUNT PLACE,2C,BRONX,793 FAIRMOUNT PLACE 2C BRONX ,40.8427073,-73.888566,14076843,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 12 SQ FT AT CEILING NORTH WALL EAST WALL AND WEST WALL IN THE BATHROOM LOCATED AT APT 2C, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13968063 ISSUED 02-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",77578,C,209424,2,793,795,32120,10460,2,2955,44,03/17/2021,04/17/2021,04/12/2021,,,,550,7121277,03/17/2021,47,03/17/2021,Original,Open,40.842766,-73.889149,6,17,36502,2010050,2029550044,East Tremont
01/02/2021,1311,HARROD AVENUE,1F,BRONX,1311 HARROD AVENUE 1F BRONX ,40.832335,-73.8746009,14090011,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 10 SQ FT AT THE SOUTH WALL IN THE BATHROOM LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13968332 ISSUED 02-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",83766,C,216384,2,1311,1311,38520,10472,1,3868,62,03/25/2021,04/25/2021,04/20/2021,,,,550,7129579,03/25/2021,47,03/25/2021,Original,Open,40.832384,-73.874343,9,18,62,2027571,2038680062,West Farms-Bronx River
01/02/2021,685,EAST 225 STREET,4C,BRONX,685 EAST 225 STREET 4C BRONX ,40.8881503,-73.861047,13967765,NOV CERTIFIED LATE,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... 10 SQ FT AT NORTH WALL, 20 SQ FT AT CEILING IN THE BATHROOM LOCATED AT APT 4C, 5th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''WEST''",70488,C,200160,2,685,685,28380,10466,5,4827,13,01/02/2021,02/04/2021,01/30/2021,,,02/20/2021,550,7050955,01/04/2021,4,02/20/2021,Original,Open,40.888059,-73.861233,12,12,408,2063011,2048270013,Williamsbridge-Olinville
01/02/2021,333,LINCOLN ROAD,3L,BROOKLYN,333 LINCOLN ROAD 3L BROOKLYN ,40.66173,-73.9517565,13967824,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND ALL WALLS APROX 80 SQUARE FEET IN THE BATHROOM LOCATED AT APT 3L, 3rd STORY",326938,C,354989,3,333,333,56130,11225,3,1329,57,01/02/2021,02/04/2021,01/30/2021,,,,550,7051733,01/04/2021,47,01/04/2021,Original,Open,40.66151,-73.951817,9,40,800,3035374,3013290057,Prospect Lefferts Gardens-Wingate
01/02/2021,2300,SEDGWICK AVENUE,4N,BRONX,2300 SEDGWICK AVENUE 4N BRONX ,40.8621346,-73.9088849,13967891,VIOLATION DISMISSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 30 SQ FT AT CEILING IN THE BATHROOM LOCATED AT APT 4N, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST , 1st SECTION FROM WEST AT NORTH",108467,C,204159,2,2290,2300,63820,10468,4,3225,148,01/02/2021,02/04/2021,01/30/2021,,,,550,7051194,01/04/2021,9,03/01/2021,Original,Close,40.862101,-73.909236,7,14,255,2014962,2032250148,Kingsbridge Heights
01/02/2021,4360,BAYCHESTER AVENUE,6C,BRONX,4360 BAYCHESTER AVENUE 6C BRONX ,40.8989812,-73.8456739,14387898,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 8 SQ FT AT CEILING, APPROX 14 SQ FT AT EAST WALL, APPROX 4 SQ FT AT SOUTH WALL AND APPROX 2 SQ FT AT NORTH WALL IN THE BATHROOM LOCATED AT APT 6C, 6th STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13968297 ISSUED 02-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",48724,C,221458,2,4360,4360,11620,10466,6,5057,27,06/12/2021,07/15/2021,07/10/2021,,,07/14/2021,550,7375429,06/14/2021,19,07/30/2021,Original,Close,40.898172,-73.845657,12,12,444,2070413,2050570027,Woodlawn-Wakefield
01/02/2021,408,AUDUBON AVENUE,53,MANHATTAN,408 AUDUBON AVENUE 53 MANHATTAN ,40.8515977,-73.9304334,13894987,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX. 30 SQ FT IN THE BATHROOM LOCATED AT APT 53, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",804021,C,107348,1,408,408,12010,10033,5,2157,50,01/02/2021,02/04/2021,01/30/2021,,,05/14/2021,550,7052227,01/04/2021,20,10/06/2021,Original,Open,40.851534,-73.930302,12,10,269,1084350,1021570050,Washington Heights North
01/03/2021,2717,NEWKIRK AVENUE,SECOND,BROOKLYN,2717 NEWKIRK AVENUE SECOND BROOKLYN ,40.6400982,-73.9505166,14092174,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX. 5 SQ.FT. AND AT WEST WALL APPROX. 5 SQ.FT. IN THE BATHROOM LOCATED AT APT SECOND, 2nd STORY ORIGINAL VIOLATION 13972411 ISSUED 03-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",255052,C,0,3,2717,2717,36080,11226,2,5214,19,03/26/2021,04/26/2021,04/21/2021,,,,550,7131450,03/26/2021,19,07/13/2021,Original,Close,40.639832,-73.951047,17,45,828,3120442,3052140022,Erasmus
01/03/2021,185,ERASMUS STREET,C8,BROOKLYN,185 ERASMUS STREET C8 BROOKLYN ,40.6500043,-73.9498967,14240451,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT STOOL AND RECESS (APPROX. 12 SQ FT) IN 2ND WINDOW FROM WEST AT NORTH IN THE 4th ROOM FROM EAST AT NORTH LOCATED AT APT C8, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH ORIGINAL VIOLATION 13972354 ISSUED 03-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",289768,C,303620,3,171,185,39630,11226,3,5105,43,04/15/2021,05/16/2021,05/11/2021,,,05/15/2021,550,7264197,04/15/2021,19,07/01/2021,Original,Close,40.649778,-73.949739,17,40,824,3117274,3051050043,Erasmus
01/03/2021,1311,COLLEGE AVENUE,4A,BRONX,1311 COLLEGE AVENUE 4A BRONX ,40.8357333,-73.9118933,13968545,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 35 SQ. FT. OF MOLD AT BATHROOM CEILING AND WALLS IN THE BATHROOM LOCATED AT APT 4A, 4th STORY, 2nd APARTMENT FROM NORTH AT EAST",57815,C,207551,2,1311,1311,20720,10456,4,2785,67,01/04/2021,02/05/2021,01/31/2021,,,,550,7052838,01/05/2021,47,01/05/2021,Original,Open,40.835981,-73.911501,4,16,17702,2007287,2027850067,East Concourse-Concourse Village
