InspectionDate,HouseNumber,StreetName,Apartment,Borough,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
02/01/2019,495,WEST 186 STREET,1D,MANHATTAN,12893309,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WEST WALL, AND SOUTH WALL (APPX 31 SQ.FT) IN THE BATHROOM LOCATED AT APT 1D, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",5873,C,104334,1,487,497,11710,10033,1,2149,93,02/06/2019,03/05/2019,02/28/2019,,,,550,6386151,02/07/2019,22,10/12/2021,Original,Open,40.851105,-73.928444,12,10,267,1063584,1021490093,Washington Heights North
03/06/2019,480,EAST 21 STREET,A3,BROOKLYN,12948188,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AND MILDEW AT EAST WALL (APPROX 100 SQ FT) IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT A3, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",249565,C,300241,3,472,482,35730,11226,1,5163,27,03/11/2019,04/07/2019,04/02/2019,04/21/2019,04/16/2019,05/01/2019,550,6418169,03/12/2019,22,01/31/2020,Original,Open,40.642574,-73.958540,14,40,51602,3118821,3051630027,Flatbush
12/02/2014,2914,CLARENDON ROAD,2R,BROOKLYN,10464237,SECOND NO ACCESS TO RE-INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING IN THE BATHROOM LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",220844,C,313328,3,2914,2914,26430,11226,2,5195,5,12/03/2014,12/17/2014,12/12/2014,,,,550,4961050,12/04/2014,23,09/04/2020,Original,Open,40.643191,-73.949488,17,45,828,3120018,3051950005,Erasmus
01/16/2015,1311,AVENUE K,3F,BROOKLYN,10520712,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... & MILDEW AT EAST,SOUTH WALLS ,CEILING AND SOUTH WINDOW FRAME IN THE 1st ROOM FROM NORTH LOCATED AT APT 3F, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''EAST''",807595,C,324058,3,1311,1323,14130,11230,3,6715,42,01/29/2015,02/12/2015,02/07/2015,,,03/04/2015,550,4992671,01/30/2015,19,09/01/2020,Original,Close,40.622615,-73.962590,14,44,534,3179934,3067150042,Midwood
05/17/2019,495,WEST 186 STREET,4F,MANHATTAN,13076850,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST WALL AND SOUTH WALL (APPX 35 SQ.FT) IN THE BATHROOM LOCATED AT APT 4F, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH",5873,C,104334,1,487,497,11710,10033,4,2149,93,05/22/2019,06/18/2019,06/13/2019,,,,550,6489368,05/23/2019,22,10/12/2021,Original,Open,40.851105,-73.928444,12,10,267,1063584,1021490093,Washington Heights North
04/24/2015,520,WEST 134 STREET,1BA,MANHATTAN,10690228,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING, APPROXIMATELY 25 SQUARE FEET IN THE BATHROOM LOCATED AT BSMT-APT 1BA, 1st BSMT-APT FROM SOUTH AT WEST",40690,C,113325,1,520,520,36450,10031,Basement,1987,50,05/01/2015,05/17/2015,05/12/2015,,,,550,5110678,05/04/2015,19,10/22/2020,Original,Close,40.818840,-73.954192,9,7,219,1059748,1019870050,Manhattanville
07/10/2015,1290,RICHMOND AVENUE,7B,STATEN ISLAND,10778903,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... PRESENT AT CEILING ( APPROX- 32 SQ,FT ) NORTH WALL ( APPROX- 10 SQ,FT ) EAST WALL ( APPROX- 8 SQ,FT ) AND WEST WALL ( APPROX- 8 SQ,FT ) IN THE BATHROOM LOCATED AT APT 7B, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH , SECTION ''#1290-2''",775353,C,501002,5,1290,1290,44750,10314,2,1644,74,07/13/2015,07/27/2015,07/22/2015,,,,550,5158879,07/14/2015,19,09/10/2020,Original,Close,40.616995,-74.156372,1,49,30301,5110029,5016440074,Mariner's Harbor-Arlington-Port Ivory-Graniteville
07/17/2019,3280,ROCHAMBEAU AVENUE,6G,BRONX,13178929,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING IN THE BATHROOM LOCATED AT APT 6G, 6th STORY, 4th APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",107097,C,215417,2,3280,3280,61720,10467,6,3336,11,07/18/2019,08/14/2019,08/09/2019,,,,550,6545381,07/19/2019,19,10/12/2021,Original,Close,40.877404,-73.880713,7,11,419,2018042,2033360011,Norwood
10/15/2019,266,PROSPECT PARK WEST,2L,BROOKLYN,13340249,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND NORTH WALL APPROX 30 SQ. FT. IN THE BATHROOM LOCATED AT APT 2L, 2nd STORY, APARTMENT AT SOUTH",356560,C,332283,3,266,266,72630,11215,2,870,41,10/16/2019,11/12/2019,11/07/2019,,,,550,6637834,10/17/2019,22,11/18/2021,Original,Open,40.658519,-73.982033,7,38,169,3016584,3008700041,Windsor Terrace
08/09/2019,210,WEST 107 STREET,,MANHATTAN,13352822,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST AND NORTH WALL (15 SQFT) IN THE BATHROOM LOCATED AT APT, 1st STORY, 3rd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13219779 ISSUED 09-AUG-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",37671,C,121703,1,210,210,35910,10025,1,1878,37,10/24/2019,11/19/2019,11/14/2019,,,,550,6644623,10/24/2019,20,11/18/2021,Original,Open,40.801314,-73.965719,7,7,195,1056642,1018780037,Morningside Heights
08/27/2019,220,WEST 107 STREET,4I,MANHATTAN,13365067,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST WALL (APPROXIMATELY 4 SQ.FT) AND THE CEILING (APPROXIMATELY 6 SQ.FT) IN THE BATHROOM LOCATED AT APT 4I, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13250467 ISSUED 27-AUG-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",37674,C,121704,1,220,220,35910,10025,4,1878,42,10/28/2019,11/23/2019,11/18/2019,,,,550,6655113,10/28/2019,20,11/18/2021,Original,Open,40.801440,-73.966015,7,7,195,1056643,1018780042,Morningside Heights
08/21/2019,125,WADSWORTH AVENUE,2,MANHATTAN,13600857,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (5SQFT) AND ALL WALLS( 10 SQFT) IN THE BATHROOM LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13241464 ISSUED 21-AUG-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",28984,C,133609,1,125,125,32790,10033,1,2162,29,02/13/2020,03/10/2020,03/05/2020,,,,550,6825676,02/13/2020,47,02/13/2020,Original,Open,40.848719,-73.935770,12,10,263,1063895,1021620029,Washington Heights South
09/28/2019,220,WEST 107 STREET,4I,MANHATTAN,13474964,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST WALL (APPROXIMATELY 4 SQ.FT), AT NORTH WALL (APPROXIMATELY 2 SQ.FT) AND THE CEILING (APPROXIMATELY 4 SQ.FT) IN THE BATHROOM LOCATED AT APT 4I, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13307028 ISSUED 28-SEP-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",37674,C,121704,1,220,220,35910,10025,4,1878,42,11/29/2019,12/25/2019,12/20/2019,,,,550,6747166,11/29/2019,20,11/18/2021,Original,Open,40.801440,-73.966015,7,7,195,1056643,1018780042,Morningside Heights
